68
1 2 3
2 3 5
4 5 5
5 6 3
7 8 3
8 9 1
9 10 1
10 11 1
11 12 1
12 13 1
13 14 3
15 16 3
17 18 1
19 20 1
21 22 3
23 24 1
24 25 0.25
25 26 0.25
26 27 1
28 29 1
30 31 0.5
31 32 0.5
33 34 1
35 36 6
37 38 3
38 39 1
39 40 1
41 42 1
42 43 1
43 44 3
45 46 0.5
47 48 1
48 49 1
49 50 1
50 51 1
51 52 1
53 54 0.5
55 56 0.5
56 57 1
58 59 1
60 61 1
62 63 1
63 64 0.5
65 66 10
66 67 1
67 68 10
1 7 2
2 8 2
3 10 2
4 11 2
5 13 2
6 14 2
7 15 1
8 16 1
9 17 1
12 20 1
13 21 1
14 22 1
16 28 5
18 24 1
19 26 1
21 34 5
23 29 1
25 31 1
27 33 1
28 38 5
29 35 1
33 36 1
34 43 5
35 39 1
36 42 1
37 45 1
38 47 1
40 49 1
41 50 1
43 52 1
44 54 1
46 56 1
47 57 1
48 58 1
51 61 1
52 62 1
53 63 1
55 65 1
59 66 1
60 67 1
64 68 1
